6.12323e-18	-0.0752137	0.0659007
0.0258995	-0.0726473	0.0636521
0.0500315	-0.0651233	0.0570597
0.0707493	-0.0531551	0.0465734
0.0866389	-0.0375594	0.0329088
0.0966161	-0.0194006	0.0169984
0.0999999	8.21024e-05	-7.19365e-05
0.0965595	0.0195592	-0.0171374
0.0865297	0.0377016	-0.0330334
0.0705948	0.0532711	-0.0466751
0.0498424	0.0652053	-0.0571316
0.0256885	0.0726896	-0.0636892
-0.000218318	0.0752135	-0.0659006
-0.0261103	0.0726046	-0.0636147
-0.0502204	0.0650409	-0.0569876
-0.0709034	0.0530388	-0.0464715
-0.0867477	0.0374171	-0.0327841
-0.0966722	0.0192419	-0.0168594
-0.0999995	-0.000246307	0.000215809
-0.0965025	-0.0197177	0.0172763
-0.08642	-0.0378436	0.0331578
-0.07044	-0.0533869	0.0467765
-0.049653	-0.0652869	0.0572031
-0.0254775	-0.0727316	0.063726
